artist_id,genres
0GM7qgcRCORpGnfcN2tCiB,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
0GQkTwFb7D3ePIpnxwYavf,[]
0GRelLAVHzwasg0Ja7gJUy,['karaoke']
0GWCNkPi54upO9WLlwjAHd,"['boy band', 'pop', 'post-teen pop']"
0Gw3a3BkWLwsMLFbOBmo6Q,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge']"
0GyAZiIV45rnBBf4KdGLS7,['movie tunes']
0GzIauSfKRc5BlNXpTWAGz,['contemporary country']
0H0OkFxp022WOyKlt3HmlA,[]
0H0yrKDty3I7pPrNUSH3wW,"['contemporary r&b', 'gospel r&b', 'r&b']"
0H39MdGGX6dbnnQPt6NQkZ,"['melodic rap', 'slap house']"
0HCeK90YUyjWi0utTPYXw1,['hip pop']
0HLOP0AdsaWe5Pt5TNueGC,"['alberta country', 'canadian contemporary country', 'canadian country', 'country', 'country dawn', 'country road']"
0HNGrIbq1ZNO2mTp3tMW4L,"['australian pop', 'dance pop', 'europop', 'talent show']"
0HRGx78eQaMqoHoopLfi2h,['atl drill']
0HS96tPggl2nwiz3gNWWI5,"[""man's orchestra""]"
0HU0U9kdXEHZVxUNbuQe8S,"['chicago soul', 'classic soul', 'funk', 'neo soul', 'quiet storm', 'soul', 'southern soul']"
0HkcYmcjrBR3SCw9Ld5VZk,"['chicago rap', 'melodic rap']"
0HnvwS4WOXhjvKwQRceHMe,['hollywood']
0I5HubncQ8E1MFZOlPDY4J,"['atl hip hop', 'dirty south rap', 'trap']"
0IF46mUS8NXjgHabxk2MCM,"['dance pop', 'hip pop', 'neo soul', 'urban contemporary']"
0IROOdQ2fQUcoaEPqt1Isg,['uk pop']
0IdYRFTswLdsGwSnzOaGNF,"['contemporary country', 'country', 'country dawn', 'country road']"
0JbfYwi6VX4DlyGp0mDJnS,[]
0JvIgRftY6CoKCwDpgZ4I1,[]
0K1DwTQ4cfIuFUrWQ4E13Q,[]
0KF35OGFXQttk0yWReabtG,['trap']
0KMLfCXYb3Dhf1hLpu8cVd,"['contemporary r&b', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
0KWcq2E8ejxp78jdfpCd4K,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']"
0KcsjYJqeQGhfbWALzu6Eg,[]
0KlSW3j5fUEfej47FOrBMr,[]
0KuF7reCTOZwV7YJnHQqgr,[]
0L8ExT028jH3ddEcZwqJJ5,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
0LFWRTqrlRmWoPZ80K8gZY,[]
0LSpP5fKqBqxYU2fweqECU,[]
0LhHRmSd1EYM5QdNeNnCoQ,"['eurodance', 'finnish edm']"
0LlPal5iJGcCWwZp8VefVs,[]
0LthCv77K8NqLKr8B6266a,"['atl hip hop', 'atlanta bass', 'miami bass']"
0LyOADBjj28cbvJWTXUEGA,"['deep talent show', 'hollywood', 'movie tunes']"
0LyfQWJT6nXafLPZqxe9Of,[]
0M2CO5ijP35MDhNwvpgxTV,"['nightcore', 'sped up']"
0MHgLfmQdutffmvWe5XBTN,"['adult standards', 'american folk revival']"
0MlOPi3zIDMVrfA9R04Fe3,"['modern rock', 'pop rock']"
0MoaBi6dSquXp6rrlqlF8R,"['latintronica', 'puerto rican indie']"
0N0d3kjwdY2h7UVuTdJGfp,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
0N41KJ4H6bkPAm2tx7VS8C,['alternative r&b']
0NIIxcxNHmOoyBx03SfTCD,"['alternative r&b', 'dance pop', 'metropopolis', 'pop', 'r&b']"
0NWbwDZY1VkRqFafuQm6wk,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
0NbfKEOTQCcwd6o7wSDOHI,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0NcPKaSNIHAM2RfioH9vMT,"['cali rap', 'canadian hip hop', 'oakland hip hop', 'scam rap', 'underground hip hop']"
0Njy6yR9LykNKYg9yE23QN,"['florida drill', 'florida rap', 'southern hip hop']"
0NyzfcGDZZ6GM25EBG9BYK,['theme']
0O8Q5C7YcMWghyISchsJsy,['fake']
0ONHkAv9pCAFxb0zJwDNTy,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
0OUXTnqjvTg4iZ7Lhq6vv7,"['contemporary r&b', 'neo soul', 'new jack swing']"
0OuSnRyi1OkLPkR4AqzJwi,['modern alternative rock']
0P6soo9LS5O854DcUpEtSc,[]
0PCCGZ0wGLizHt2KZ7hhA2,[]
0PDqlUGugF5Jt6DZyATvfz,"['classic soul', 'quiet storm', 'soul', 'southern soul']"
0PEfbjTw85CAN5G0lz9n3p,[]
0PGtMx1bsqoCHCy3MB3gXA,"['atl hip hop', 'dirty south rap']"
0Q8NcsJwoCbZOHHW63su5S,"['trap latino', 'urbano latino']"
0QHgL1lAIqAw0HtD7YldmP,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
0QJIPDAEDILuo8AIq3pMuU,"['escape room', 'indietronica', 'new rave']"
0REMf7H0VP6DwfZ9MbuWph,"['alternative metal', 'nu metal', 'post-grunge']"
0RESbWvOMyua0yuyVrztJ5,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
0RKP52f5PNDCRZ9Luq2Sr7,"['contemporary country', 'country road']"
0RpddSzUHfncUWNJXKOsjy,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']"
0RqtSIYZmd4fiBKVFqyIqD,"['modern rock', 'post-grunge']"
0RttOiRAmjz06ug0WAsD4i,"['baroque ensemble', 'historically informed performance']"
0S7eN9KAsbAaIZtFyCn1q1,['singer-songwriter pop']
0SCbttzoZTnLFebDYmAWCm,"['glee club', 'post-teen pop']"
0SKVoWXola9WXgw3PwMYpE,['vbs']
0SWtMcmZLgP04Kj5x0eCxa,['latin pop']
0SdiiPkr02EUdekHZJkt58,['boy band']
0SfsnGyD8FpIN4U4WCkBZ5,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
0Sk6yoUQnccty5iMhVhz9D,[]
0SrWhJKqo5jxJymLSax0C3,[]
0SuQEAJ7EMAipBdrAYO4XS,['deep talent show']
0SwO7SWeDHJijQ3XNS7xEE,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
