chart_week,list_position,track_id,score,chart_year,chart_month,track_name,duration_ms,release_date,album_type,explicit,artist_id,artist_name,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,distance_to_mean
2022-09-10,6,72yP0DUlWPyH8P7IoxskwN,75,2022,9,Hold Me Closer,202245,2022-08-26,single,False,26dSoYclwsYLMAKD3tpOr4,Britney Spears,83.0,15345716.0,0.667,0.75,0.0,-4.602,1.0,0.0906,0.0746,0.000198,0.197,0.486,126.041,4.0,pop,7.423479609161843
2007-05-12,6,2qAcnCP9xtJdAZ3oXc0hNv,75,2007,5,I'll Stand By You,229893,2009-01-06,album,False,2Q07VeywZl1U7Zbywcq30i,Hushabye Baby,30.0,4085.0,0.715,0.148,4.0,-13.954,0.0,0.0373,0.472,0.211,0.123,0.403,123.992,4.0,other,7.948564249719855
2013-10-19,6,5HOpkTTVcmZHnthgyxrIL8,75,2013,10,The Fox (What Does the Fox Say?),213708,2013-09-02,single,False,2lEOFtf3cCyzomQcMHJGfZ,Ylvis,50.0,171199.0,0.703,0.867,6.0,-4.292,1.0,0.0453,0.107,0.0,0.119,0.546,128.008,4.0,other,7.960158010318907
2006-07-15,6,7huo2wvrCgRucUsjdSDLQV,75,2006,7,Ain't No Other Man,228906,2006-08-14,album,False,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,79.0,8514927.0,0.862,0.742,7.0,-4.722,1.0,0.222,0.00376,0.00855,0.103,0.511,127.91,4.0,pop,7.99603754778671
2000-01-29,6,4GewRLEiI4BDTQsoH8BRVV,75,2000,1,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,283747,2011-01-05,album,False,5ENS85nZShljwNgg4wFD7D,Gabry Ponte,76.0,567985.0,0.822,0.969,7.0,-11.471,0.0,0.0582,0.259,0.000153,0.39,0.765,128.007,4.0,other,9.091315463351783
2024-04-06,6,0hKtu53OlIFXVuYkZwcn3o,75,2024,4,Cinderella,169840,2024-03-22,album,True,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,94.0,33611357.0,0.876,0.412,5.0,-7.74,0.0,0.0748,0.431,0.0,0.101,0.15,130.052,4.0,rap/hip-hop,9.525814991046389
2010-07-17,6,2V4bv1fNWfTcyRJKmej6Sj,75,2010,7,Cooler Than Me - Single Mix,213293,2010-08-09,album,False,1Bo8Afb2Qbjs4x6kJHyjle,Gigamesh,63.0,39406.0,0.768,0.82,7.0,-4.63,0.0,0.0474,0.179,0.0,0.689,0.625,129.965,4.0,edm,9.936092281638908
2018-05-12,6,4eWQlBRaTjPPUlzacqEeoQ,75,2018,5,Never Be the Same,226973,2018-01-12,album,False,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,82.0,33889992.0,0.637,0.713,0.0,-4.333,1.0,0.0747,0.181,0.000637,0.137,0.243,129.923,4.0,pop,10.665837801491861
2013-02-09,6,2V65y3PX4DkRhy1djlxd9p,75,2013,2,Don't You Worry Child - Radio Edit,212862,2012-09-14,single,False,1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,77.0,3842585.0,0.612,0.84,11.0,-3.145,0.0,0.0509,0.112,0.0,0.116,0.438,129.042,4.0,edm,11.245911769129448
2023-09-16,6,1vYXt7VSjH9JIM5oRRo7vA,75,2023,9,Dance The Night - From Barbie The Album,176579,2023-05-25,single,False,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88.0,44822142.0,0.671,0.845,11.0,-4.93,0.0,0.048,0.0207,0.0,0.329,0.775,110.056,4.0,pop,12.516774853981486
2001-12-29,6,2lnzGkdtDj5mtlcOW2yRtG,75,2001,12,"Whenever, Wherever",196160,2001-11-13,album,False,0EmeFodog0BfCgMzAIvKQp,Shakira,88.0,34893068.0,0.794,0.832,1.0,-4.862,0.0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,4.0,pop,13.568823938323531
2006-02-25,6,0fGh0trRN1xz3s41r7V5ce,75,2006,2,Shake That,274440,2005-12-06,compilation,True,1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,78.0,1743568.0,0.963,0.643,1.0,-5.785,0.0,0.117,0.0507,4.94e-05,0.157,0.534,107.005,4.0,r&b,14.09608987243794
2004-05-22,6,2tOZtdbkAMQASWokLvSlzj,75,2004,5,Overnight Celebrity (feat. Miri Ben-Ari),233360,2004-01-27,album,True,6vbY3hOaCAhC7VjucswgdS,Twista,67.0,1127822.0,0.828,0.792,10.0,-5.435,0.0,0.179,0.182,0.0,0.281,0.777,134.199,4.0,rap/hip-hop,14.71755060646454
2017-01-28,6,6PCUP3dWmTjcTtXY02oFdT,75,2017,1,Castle on the Hill,261153,2017-03-03,album,False,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,89.0,116502914.0,0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4.0,pop,14.75715088693421
2001-12-08,6,68ZXSfqZbAVgObLCt8Gvbi,75,2001,12,Livin' It Up,256959,2001-10-02,album,False,1J2VVASYAamtQ3Bt8wGgA6,Ja Rule,70.0,1936121.0,0.872,0.765,1.0,-4.088,1.0,0.321,0.0574,0.0,0.0498,0.638,106.026,4.0,pop,15.254240460209191
2006-04-29,6,4bVuIlGQBMWS7vIhcx8Ae4,75,2006,4,What Hurts The Most,214106,2006-01-01,album,False,0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,70.0,3590883.0,0.537,0.674,5.0,-5.134,0.0,0.0277,0.0088,0.0,0.265,0.33,136.002,4.0,country,15.500102263415066
2005-10-15,6,3ZffCQKLFLUvYM59XKLbVm,75,2005,10,Wake Me up When September Ends,285653,2004-09-21,album,False,7oPftvlwr6VrsViSDV7fJY,Green Day,83.0,15554281.0,0.546,0.814,7.0,-5.146,1.0,0.0314,0.023,0.0,0.0972,0.146,104.98,4.0,rock,15.914622895100052
2008-01-05,6,28IEbk5a7twNTbUEvWslUb,75,2008,1,Paralyzer,208106,2007-01-01,album,False,0niJkG4tKkne3zwr7I8n9n,Finger Eleven,63.0,761329.0,0.644,0.939,11.0,-3.486,0.0,0.0456,0.157,0.0,0.233,0.861,106.031,4.0,rock,16.289572129606192
2020-08-15,6,3YUMWmx8EJq0DurfuIwoGh,75,2020,8,my future,210005,2021-07-30,album,False,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96.0,100687015.0,0.456,0.285,8.0,-10.755,1.0,0.0979,0.814,0.143,0.307,0.0809,104.89,4.0,pop,16.59408663990069
2018-09-22,6,4S8d14HvHb70ImctNgVzQQ,75,2018,9,I Love It (& Lil Pump),127946,2018-09-07,single,True,3wyVrVrFCkukjdVIdirGVY,Lil Pump,65.0,7639629.0,0.901,0.522,2.0,-8.304,1.0,0.33,0.0114,0.0,0.259,0.329,104.053,4.0,rap/hip-hop,16.820339061263983
2017-12-30,6,4wFjTWCunQFKtukqrNijEt,75,2017,12,MotorSport,303076,2018-01-26,album,True,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,87.0,32494337.0,0.902,0.518,2.0,-5.32,1.0,0.183,0.0305,0.0,0.325,0.188,137.993,4.0,pop,17.64622312433866
2024-04-13,6,1UP7PXne1lIYZB5G5aiRGL,75,2024,4,II MOST WANTED,208521,2024-03-29,album,False,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,84.0,24857826.0,0.533,0.355,8.0,-6.132,1.0,0.0289,0.497,0.0,0.174,0.256,137.986,4.0,pop,17.745705203120117
2022-07-02,6,4rmVZajAF7PkrCagGPHbqa,75,2022,7,Sticky,243227,2022-06-17,album,True,3TVXtAsR1Inumwj472S9r4,Drake,96.0,92537455.0,0.853,0.495,6.0,-14.63,1.0,0.14,0.0917,0.000217,0.0844,0.0774,137.027,4.0,rap/hip-hop,18.255162217162972
2001-01-13,6,6vgN6KGstss0GnBbKlMNK9,75,2001,1,The Way You Love Me,186066,1999-11-09,album,False,25NQNriVT2YbSW80ILRWJa,Faith Hill,63.0,1869329.0,0.627,0.716,2.0,-7.175,1.0,0.0352,0.127,0.0,0.0344,0.734,101.99,4.0,country,18.7920391998219
2020-11-21,6,1p0rEzrK7YtdRZVtiyV7RN,75,2020,11,Lemonade (feat. NAV),195428,2020-08-28,album,True,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,87.0,8119414.0,0.8,0.658,1.0,-6.142,0.0,0.079,0.25,0.0,0.111,0.462,140.042,4.0,rap/hip-hop,19.76989030729925
2012-09-29,6,75lo8VozcCLRG9WGG674iD,75,2012,9,As Long As You Love Me,229466,2012-01-01,album,False,0c173mlxpT3dSFRgMO8XPh,Big Sean,79.0,11202512.0,0.571,0.873,0.0,-3.382,0.0,0.0997,0.0807,0.0,0.361,0.613,139.691,4.0,rap/hip-hop,19.918999141193435
2022-10-15,6,4h9wh7iOZ0GGn8QVp4RAOB,75,2022,10,I Ain't Worried,148485,2022-05-13,single,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,85.0,17522655.0,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4.0,rock,19.935406748957185
2023-08-05,7,5L3ecxQnQ9qTBmnLQiwf0C,72,2023,8,K-POP,185220,2023-07-21,single,True,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,94.0,33611357.0,0.814,0.618,5.0,-5.614,0.0,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,4.0,rap/hip-hop,1.477558202237032
2007-04-21,7,18lR4BzEs7e3qzc0KVkTpU,72,2007,4,What I've Done,205226,2007-05-14,album,False,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,92.0,27123544.0,0.627,0.935,5.0,-4.882,1.0,0.0324,0.0092,0.0,0.147,0.287,120.092,4.0,rock,2.1031015754270426
2013-02-23,7,6TwfdLbaxTKzQi3AgsZNzx,72,2013,2,Daylight,225306,2012-01-01,album,False,04gDigrS5kc9YWfZHwBETP,Maroon 5,87.0,42858633.0,0.657,0.679,2.0,-5.511,1.0,0.0269,0.00246,0.0,0.211,0.331,120.007,4.0,pop,2.9398022558124035
2018-10-20,7,2iUXsYOEPhVqEBwsqP70rE,72,2018,10,Youngblood,203417,2018-06-15,album,False,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,77.0,10049110.0,0.597,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.276,4.0,pop,3.081881779722207
